#neurons por layer oculto,#layers ocultos,max epochs,test size,lrate,alpha,accuracy(training),accuracy(test)
100,2,50,0.5,0.5,0,1.0,0.9887640449438202
100,2,200,0.5,0.1,1,1.0,0.9887640449438202
100,2,100,0.5,0.1,1,1.0,0.9887640449438202
100,2,50,0.5,0.1,1,1.0,0.9775280898876404
100,2,200,0.5,0.1,0.7,1.0,0.9887640449438202
100,2,100,0.5,0.1,0.7,1.0,0.9887640449438202
100,2,50,0.5,0.1,0.7,1.0,0.9775280898876404
100,2,200,0.5,0.1,0.5,1.0,0.9887640449438202
100,2,100,0.5,0.1,0.5,1.0,0.9887640449438202
100,2,50,0.5,0.1,0.5,1.0,0.9662921348314607
100,2,200,0.5,0.1,0.2,1.0,0.9887640449438202
100,2,100,0.5,0.1,0.2,1.0,0.9887640449438202
100,2,50,0.5,0.1,0.2,1.0,0.9662921348314607
100,2,200,0.5,0.1,0,1.0,0.9887640449438202
100,2,100,0.5,0.1,0,1.0,0.9775280898876404
100,2,50,0.5,0.1,0,1.0,0.9662921348314607
100,2,200,0.2,0.9,1,0.49295774647887325,0.7222222222222222
100,2,100,0.2,0.9,1,0.0,0.0
100,2,50,0.2,0.9,1,0.0,0.0
100,2,200,0.2,0.9,0.7,1.0,0.9722222222222222
100,2,100,0.2,0.9,0.7,0.8732394366197183,1.0
100,2,50,0.2,0.9,0.7,0.0,0.0
100,2,200,0.2,0.9,0.5,1.0,0.9722222222222222
100,2,100,0.2,0.9,0.5,1.0,0.9722222222222222
100,2,50,0.2,0.9,0.5,0.9014084507042254,0.9444444444444444
100,2,200,0.2,0.9,0.2,1.0,0.9444444444444444
100,2,100,0.2,0.9,0.2,1.0,0.9444444444444444
100,2,50,0.2,0.9,0.2,1.0,0.9444444444444444
100,2,200,0.2,0.9,0,1.0,0.9722222222222222
100,2,100,0.2,0.9,0,1.0,0.9722222222222222
100,2,50,0.2,0.9,0,1.0,0.9722222222222222
